V,I
0,0
0.6,7.6
1,57
1.5,145
1.66,154
1.72,156
1.84,156
1.9,153
2,148
2.25,136
2.5,118
3,92
4,64.1
5,51.4
5.7,49.2
6,48.9
6.04,48.9
6.3,49.4
6.6,49.3
7.02,50.2
7.57,52.0
8.57,58.5
9.56,73
10.55,86.6
11.59,110
11.9,132.8

